# channel,epoch_s,h2s
h2s,1700000000.000,5.55110
h2s,1700000000.500,82.57533
h2s,1700000001.000,0.87879
h2s,1700000001.500,3.28479
h2s,1700000002.000,3.04400
h2s,1700000002.500,-2.18226
h2s,1700000003.000,0.15002
h2s,1700000003.500,0.58324
h2s,1700000004.000,1.86288
h2s,1700000004.500,0.22012
h2s,1700000005.000,0.50434
h2s,1700000005.500,-0.18224
h2s,1700000006.000,2.88394
h2s,1700000006.500,-2.04752
h2s,1700000007.000,0.04599
h2s,1700000007.500,-2.71560
h2s,1700000008.000,-1.00583
h2s,1700000008.500,1.78140
h2s,1700000009.000,1.92612
h2s,1700000009.500,0.74875
h2s,1700000010.000,3.76039
h2s,1700000010.500,4.37524
h2s,1700000011.000,1.70239
h2s,1700000011.500,2.53586
h2s,1700000012.000,1.34603
h2s,1700000012.500,3.74447
h2s,1700000013.000,0.36702
h2s,1700000013.500,6.63747
h2s,1700000014.000,5.64387
h2s,1700000014.500,1.31265
h2s,1700000015.000,2.50848
h2s,1700000015.500,5.33509
h2s,1700000016.000,4.25267
h2s,1700000016.500,6.48558
h2s,1700000017.000,5.17525
h2s,1700000017.500,9.47125
h2s,1700000018.000,6.99485
h2s,1700000018.500,12.40366
h2s,1700000019.000,9.37820
h2s,1700000019.500,6.10820
h2s,1700000020.000,13.63541
h2s,1700000020.500,12.33345
h2s,1700000021.000,11.58487
h2s,1700000021.500,-67.18269
h2s,1700000022.000,9.85220
h2s,1700000022.500,9.33000
h2s,1700000023.000,13.56109
h2s,1700000023.500,17.10025
h2s,1700000024.000,15.81924
h2s,1700000024.500,19.11286
h2s,1700000025.000,18.97978
h2s,1700000025.500,16.99207
h2s,1700000026.000,19.89722
h2s,1700000026.500,21.11393
h2s,1700000027.000,18.40266
h2s,1700000027.500,18.58042
h2s,1700000028.000,19.68029
h2s,1700000028.500,14.90972
h2s,1700000029.000,20.56809
h2s,1700000029.500,21.65869
h2s,1700000030.000,20.65231
h2s,1700000030.500,21.13162
h2s,1700000031.000,20.36713
h2s,1700000031.500,16.40466
h2s,1700000032.000,23.60199
h2s,1700000032.500,19.35403
h2s,1700000033.000,18.60381
h2s,1700000033.500,22.24433
h2s,1700000034.000,21.11728
h2s,1700000034.500,19.28366
h2s,1700000035.000,19.80417
h2s,1700000035.500,15.43809
h2s,1700000036.000,17.02845
h2s,1700000036.500,19.18656
h2s,1700000037.000,14.61923
h2s,1700000037.500,13.32846
h2s,1700000038.000,14.81435
h2s,1700000038.500,14.17892
h2s,1700000039.000,14.57842
h2s,1700000039.500,9.83120
h2s,1700000040.000,6.79349
h2s,1700000040.500,13.04439
h2s,1700000041.000,8.35473
h2s,1700000041.500,8.63233
h2s,1700000042.000,4.83371
h2s,1700000042.500,10.61312
h2s,1700000043.000,8.65693
h2s,1700000043.500,7.98965
h2s,1700000044.000,7.41498
h2s,1700000044.500,2.15378
h2s,1700000045.000,3.79804
h2s,1700000045.500,4.38807
h2s,1700000046.000,3.34641
h2s,1700000046.500,3.88249
h2s,1700000047.000,4.52852
h2s,1700000047.500,5.68809
h2s,1700000048.000,0.38168
h2s,1700000048.500,3.01818
h2s,1700000049.000,4.17854
h2s,1700000049.500,0.65155
h2s,1700000050.000,1.88172
h2s,1700000050.500,2.99023
h2s,1700000051.000,1.88999
h2s,1700000051.500,3.04572
h2s,1700000052.000,1.73438
h2s,1700000052.500,0.78546
h2s,1700000053.000,-1.05687
h2s,1700000053.500,1.67614
h2s,1700000054.000,1.28761
h2s,1700000054.500,-0.98072
h2s,1700000055.000,2.09664
h2s,1700000055.500,3.40520
h2s,1700000056.000,-0.50576
h2s,1700000056.500,-0.68842
h2s,1700000057.000,-0.80254
h2s,1700000057.500,-2.66691
h2s,1700000058.000,4.66907
h2s,1700000058.500,-0.26356
h2s,1700000059.000,-81.10475
h2s,1700000059.500,-1.66011
h2s,1700000060.000,-0.19832
h2s,1700000060.500,-0.79734
h2s,1700000061.000,3.48743
h2s,1700000061.500,-1.86484
h2s,1700000062.000,-2.41945
h2s,1700000062.500,1.79029
h2s,1700000063.000,0.50613
h2s,1700000063.500,0.31380
h2s,1700000064.000,1.92413
h2s,1700000064.500,1.13023
h2s,1700000065.000,0.82270
h2s,1700000065.500,-1.82697
h2s,1700000066.000,-2.27447
h2s,1700000066.500,-0.25134
h2s,1700000067.000,-0.91995
h2s,1700000067.500,1.89901
h2s,1700000068.000,-2.11129
h2s,1700000068.500,0.73228
h2s,1700000069.000,1.43704
h2s,1700000069.500,1.87784
h2s,1700000070.000,2.94766
h2s,1700000070.500,-78.29093
h2s,1700000071.000,1.26062
h2s,1700000071.500,5.34022
h2s,1700000072.000,2.49012
h2s,1700000072.500,6.27164
h2s,1700000073.000,3.11146
h2s,1700000073.500,4.08339
h2s,1700000074.000,4.21910
h2s,1700000074.500,5.36655
h2s,1700000075.000,4.49893
h2s,1700000075.500,5.99236
h2s,1700000076.000,9.34979
h2s,1700000076.500,8.89994
h2s,1700000077.000,9.45289
h2s,1700000077.500,5.22059
h2s,1700000078.000,6.12956
h2s,1700000078.500,9.53107
h2s,1700000079.000,11.26101
h2s,1700000079.500,9.32085
h2s,1700000080.000,9.61625
h2s,1700000080.500,14.46092
h2s,1700000081.000,13.71278
h2s,1700000081.500,15.12699
h2s,1700000082.000,12.79626
h2s,1700000082.500,13.30116
h2s,1700000083.000,16.89050
h2s,1700000083.500,15.10373
h2s,1700000084.000,15.02425
h2s,1700000084.500,15.01204
h2s,1700000085.000,16.37940
h2s,1700000085.500,19.68230
h2s,1700000086.000,15.40517
h2s,1700000086.500,20.13307
h2s,1700000087.000,17.86320
h2s,1700000087.500,19.21439
h2s,1700000088.000,19.64536
h2s,1700000088.500,19.74396
h2s,1700000089.000,19.80126
h2s,1700000089.500,19.61755
h2s,1700000090.000,19.43357
h2s,1700000090.500,23.22482
h2s,1700000091.000,20.58276
h2s,1700000091.500,20.16710
h2s,1700000092.000,18.95593
h2s,1700000092.500,19.19700
h2s,1700000093.000,18.44162
h2s,1700000093.500,20.91169
h2s,1700000094.000,17.47978
h2s,1700000094.500,14.05277
h2s,1700000095.000,18.17625
h2s,1700000095.500,16.97536
h2s,1700000096.000,15.80153
h2s,1700000096.500,18.20417
h2s,1700000097.000,10.29559
h2s,1700000097.500,18.27506
h2s,1700000098.000,16.57497
h2s,1700000098.500,12.54036
h2s,1700000099.000,12.21815
h2s,1700000099.500,13.44861
h2s,1700000100.000,-67.17649
h2s,1700000100.500,9.81970
h2s,1700000101.000,7.18920
h2s,1700000101.500,13.99778
h2s,1700000102.000,11.04576
h2s,1700000102.500,8.82860
h2s,1700000103.000,8.26852
h2s,1700000103.500,8.58444
h2s,1700000104.000,8.27326
h2s,1700000104.500,2.09358
h2s,1700000105.000,5.06662
h2s,1700000105.500,4.38834
h2s,1700000106.000,4.53272
h2s,1700000106.500,5.98285
h2s,1700000107.000,0.47469
h2s,1700000107.500,0.99769
