# channel,epoch_s,x_m,y_m,z_m
nav,1700000000.000,-59.848,-40.520,-1457.125
nav,1700000000.100,-59.330,-40.976,-1458.104
nav,1700000000.200,-59.536,-40.158,-1457.414
nav,1700000000.300,-59.827,-39.560,-1456.970
nav,1700000000.400,-59.167,-39.436,-1457.078
nav,1700000000.500,-59.430,-39.816,-1457.744
nav,1700000000.600,-58.361,-40.025,-1457.310
nav,1700000000.700,-58.940,-39.389,-1457.247
nav,1700000000.800,-58.614,-40.176,-1456.857
nav,1700000000.900,-58.017,-39.794,-1456.860
nav,1700000001.000,-56.929,-40.203,-1457.285
nav,1700000001.100,-58.207,-39.692,-1456.417
nav,1700000001.200,-57.657,-40.420,-1457.347
nav,1700000001.300,-57.075,-39.628,-1456.616
nav,1700000001.400,-57.533,-39.884,-1456.782
nav,1700000001.500,-56.891,-39.564,-1456.681
nav,1700000001.600,-56.461,-39.966,-1456.602
nav,1700000001.700,-56.284,-40.729,-1456.859
nav,1700000001.800,-56.635,-40.319,-1456.790
nav,1700000001.900,-55.453,-40.433,-1456.121
nav,1700000002.000,-56.841,-40.167,-1456.476
nav,1700000002.100,-55.507,-39.644,-1456.114
nav,1700000002.200,-55.774,-40.231,-1456.035
nav,1700000002.300,-55.496,-40.638,-1456.983
nav,1700000002.400,-55.660,-39.751,-1456.298
nav,1700000002.500,-54.655,-40.214,-1456.243
nav,1700000002.600,-54.487,-40.155,-1456.047
nav,1700000002.700,-54.931,-40.182,-1456.419
nav,1700000002.800,-54.998,-39.757,-1456.416
nav,1700000002.900,-54.194,-39.760,-1455.911
nav,1700000003.000,-53.667,-40.049,-1456.299
nav,1700000003.100,-53.840,-40.844,-1456.764
nav,1700000003.200,-54.261,-40.499,-1455.793
nav,1700000003.300,-53.853,-40.189,-1455.297
nav,1700000003.400,-53.378,-39.631,-1456.366
nav,1700000003.500,-53.103,-40.475,-1456.022
nav,1700000003.600,-52.380,-40.864,-1455.588
nav,1700000003.700,-52.481,-40.297,-1456.481
nav,1700000003.800,-52.364,-40.265,-1455.595
nav,1700000003.900,-52.189,-39.199,-1455.784
nav,1700000004.000,-52.512,-39.910,-1455.507
nav,1700000004.100,-51.120,-39.582,-1455.392
nav,1700000004.200,-50.868,-40.594,-1455.843
nav,1700000004.300,-51.863,-40.195,-1456.165
nav,1700000004.400,-50.882,-40.111,-1456.165
nav,1700000004.500,-51.508,-39.843,-1454.963
nav,1700000004.600,-49.802,-38.543,-1455.128
nav,1700000004.700,-51.095,-41.066,-1455.155
nav,1700000004.800,-50.806,-40.208,-1455.548
nav,1700000004.900,-50.270,-39.467,-1455.116
nav,1700000005.000,-50.079,-40.518,-1455.985
nav,1700000005.100,-50.043,-40.027,-1454.217
nav,1700000005.200,-49.535,-39.509,-1455.304
nav,1700000005.300,-49.992,-40.483,-1455.370
nav,1700000005.400,-48.136,-40.411,-1454.541
nav,1700000005.500,-49.451,-39.534,-1454.721
nav,1700000005.600,-48.878,-40.020,-1455.195
nav,1700000005.700,-48.377,-40.227,-1455.433
nav,1700000005.800,-49.039,-39.914,-1453.984
nav,1700000005.900,-48.120,-40.059,-1454.584
nav,1700000006.000,-47.347,-39.890,-1454.885
nav,1700000006.100,-47.247,-39.786,-1453.865
nav,1700000006.200,-47.508,-40.612,-1455.271
nav,1700000006.300,-46.575,-39.138,-1454.630
nav,1700000006.400,-47.392,-39.269,-1455.047
nav,1700000006.500,-47.447,-39.678,-1454.644
nav,1700000006.600,-46.803,-40.082,-1454.231
nav,1700000006.700,-45.896,-39.955,-1454.031
nav,1700000006.800,-47.425,-40.024,-1454.728
nav,1700000006.900,-46.809,-40.439,-1454.427
nav,1700000007.000,-45.542,-40.663,-1454.198
nav,1700000007.100,-46.042,-40.164,-1453.665
nav,1700000007.200,-45.331,-39.331,-1454.197
nav,1700000007.300,-45.748,-40.112,-1453.952
nav,1700000007.400,-45.112,-40.542,-1453.982
nav,1700000007.500,-44.886,-38.741,-1453.042
nav,1700000007.600,-45.227,-40.144,-1454.665
nav,1700000007.700,-44.895,-39.842,-1453.284
nav,1700000007.800,-44.765,-40.327,-1454.914
nav,1700000007.900,-44.281,-40.531,-1454.059
nav,1700000008.000,-44.438,-40.047,-1454.627
nav,1700000008.100,-44.534,-38.935,-1454.345
nav,1700000008.200,-44.148,-39.082,-1452.202
nav,1700000008.300,-43.986,-40.184,-1453.438
nav,1700000008.400,-42.336,-40.493,-1453.685
nav,1700000008.500,-42.611,-39.783,-1453.704
nav,1700000008.600,-42.867,-40.687,-1453.588
nav,1700000008.700,-42.733,-39.884,-1453.701
nav,1700000008.800,-42.164,-39.494,-1453.299
nav,1700000008.900,-42.024,-39.973,-1453.330
nav,1700000009.000,-42.361,-39.842,-1453.333
nav,1700000009.100,-40.753,-39.213,-1453.045
nav,1700000009.200,-41.982,-40.556,-1452.596
nav,1700000009.300,-41.269,-39.760,-1454.017
nav,1700000009.400,-40.736,-39.773,-1453.654
nav,1700000009.500,-41.236,-39.868,-1453.026
nav,1700000009.600,-40.946,-40.052,-1453.133
nav,1700000009.700,-40.524,-39.264,-1454.244
nav,1700000009.800,-40.518,-39.912,-1452.766
nav,1700000009.900,-40.386,-40.878,-1452.704
nav,1700000010.000,-39.136,-40.767,-1452.390
nav,1700000010.100,-39.964,-40.031,-1453.302
nav,1700000010.200,-39.767,-39.350,-1452.439
nav,1700000010.300,-38.534,-39.411,-1452.464
nav,1700000010.400,-38.328,-39.781,-1452.224
nav,1700000010.500,-39.148,-39.967,-1452.940
nav,1700000010.600,-38.305,-40.589,-1452.155
nav,1700000010.700,-38.695,-39.414,-1452.124
nav,1700000010.800,-37.490,-39.635,-1453.240
nav,1700000010.900,-38.233,-40.586,-1452.667
nav,1700000011.000,-37.244,-39.681,-1452.712
nav,1700000011.100,-38.307,-39.984,-1452.925
nav,1700000011.200,-37.936,-39.844,-1451.693
nav,1700000011.300,-37.096,-41.146,-1452.072
nav,1700000011.400,-37.164,-39.793,-1451.371
nav,1700000011.500,-38.032,-40.296,-1451.838
nav,1700000011.600,-37.591,-39.262,-1451.903
nav,1700000011.700,-36.177,-40.285,-1451.635
nav,1700000011.800,-35.866,-39.884,-1451.879
nav,1700000011.900,-36.065,-40.432,-1452.024
nav,1700000012.000,-36.076,-39.808,-1451.405
nav,1700000012.100,-36.329,-40.063,-1451.118
nav,1700000012.200,-35.972,-40.411,-1451.712
nav,1700000012.300,-34.978,-39.994,-1451.103
nav,1700000012.400,-34.772,-39.579,-1451.445
nav,1700000012.500,-33.836,-40.103,-1452.678
nav,1700000012.600,-33.998,-40.229,-1451.577
nav,1700000012.700,-33.945,-40.801,-1452.211
nav,1700000012.800,-35.201,-40.397,-1451.320
nav,1700000012.900,-33.938,-39.862,-1452.201
nav,1700000013.000,-35.155,-39.973,-1451.685
nav,1700000013.100,-33.570,-39.649,-1451.335
nav,1700000013.200,-33.220,-39.885,-1451.094
nav,1700000013.300,-33.752,-40.090,-1451.215
nav,1700000013.400,-32.790,-40.197,-1451.007
nav,1700000013.500,-33.133,-40.059,-1450.808
nav,1700000013.600,-33.797,-40.648,-1451.919
nav,1700000013.700,-33.767,-40.339,-1450.758
nav,1700000013.800,-32.542,-39.901,-1450.542
nav,1700000013.900,-31.536,-40.035,-1450.365
nav,1700000014.000,-31.954,-40.419,-1451.294
nav,1700000014.100,-32.540,-40.444,-1451.131
nav,1700000014.200,-31.198,-39.140,-1451.598
nav,1700000014.300,-31.204,-40.520,-1450.624
nav,1700000014.400,-31.266,-40.915,-1450.352
nav,1700000014.500,-31.303,-40.267,-1451.306
nav,1700000014.600,-31.127,-39.786,-1450.821
nav,1700000014.700,-30.436,-39.819,-1450.021
nav,1700000014.800,-30.571,-40.738,-1450.103
nav,1700000014.900,-30.366,-39.443,-1450.400
nav,1700000015.000,-30.066,-39.826,-1449.572
nav,1700000015.100,-28.762,-39.965,-1450.422
nav,1700000015.200,-29.062,-40.423,-1450.291
nav,1700000015.300,-29.413,-39.843,-1450.829
nav,1700000015.400,-29.995,-41.036,-1450.927
nav,1700000015.500,-29.229,-40.147,-1449.355
nav,1700000015.600,-28.247,-40.481,-1450.105
nav,1700000015.700,-28.804,-40.142,-1450.141
nav,1700000015.800,-28.090,-40.170,-1449.658
nav,1700000015.900,-28.771,-39.997,-1448.846
nav,1700000016.000,-27.888,-39.283,-1450.055
nav,1700000016.100,-27.510,-40.028,-1450.141
nav,1700000016.200,-27.990,-39.785,-1450.437
nav,1700000016.300,-27.067,-39.457,-1449.784
nav,1700000016.400,-27.343,-39.773,-1450.077
nav,1700000016.500,-26.532,-40.916,-1450.046
nav,1700000016.600,-27.795,-40.748,-1449.152
nav,1700000016.700,-26.152,-40.360,-1450.541
nav,1700000016.800,-27.882,-40.272,-1448.535
nav,1700000016.900,-25.983,-40.280,-1449.469
nav,1700000017.000,-26.780,-40.149,-1449.607
nav,1700000017.100,-25.843,-39.605,-1449.441
nav,1700000017.200,-25.266,-40.344,-1449.120
nav,1700000017.300,-24.586,-40.485,-1449.969
nav,1700000017.400,-24.532,-40.096,-1448.779
nav,1700000017.500,-25.221,-39.272,-1449.371
nav,1700000017.600,-24.671,-39.218,-1449.574
nav,1700000017.700,-25.071,-40.224,-1449.123
nav,1700000017.800,-25.183,-39.681,-1449.574
nav,1700000017.900,-23.626,-41.197,-1449.654
nav,1700000018.000,-24.843,-40.413,-1449.093
nav,1700000018.100,-23.890,-40.127,-1449.253
nav,1700000018.200,-23.498,-40.504,-1448.776
nav,1700000018.300,-23.069,-39.807,-1448.808
nav,1700000018.400,-23.052,-38.982,-1449.086
nav,1700000018.500,-23.154,-40.377,-1449.515
nav,1700000018.600,-23.422,-40.444,-1448.990
nav,1700000018.700,-22.433,-39.974,-1449.294
nav,1700000018.800,-21.950,-39.630,-1448.948
nav,1700000018.900,-22.526,-39.726,-1448.730
nav,1700000019.000,-22.724,-40.034,-1448.650
nav,1700000019.100,-22.250,-39.905,-1449.465
nav,1700000019.200,-20.932,-39.376,-1448.820
nav,1700000019.300,-21.218,-41.205,-1449.229
nav,1700000019.400,-21.347,-40.536,-1448.250
nav,1700000019.500,-20.001,-40.588,-1448.983
nav,1700000019.600,-20.682,-39.194,-1449.132
nav,1700000019.700,-20.475,-39.089,-1449.304
nav,1700000019.800,-21.041,-40.212,-1448.695
nav,1700000019.900,-19.794,-39.879,-1449.279
nav,1700000020.000,-19.742,-40.289,-1447.711
nav,1700000020.100,-20.114,-40.318,-1448.035
nav,1700000020.200,-19.219,-39.776,-1449.105
nav,1700000020.300,-19.131,-40.517,-1448.102
nav,1700000020.400,-19.912,-39.777,-1448.580
nav,1700000020.500,-19.641,-39.643,-1448.013
nav,1700000020.600,-19.107,-39.274,-1448.311
nav,1700000020.700,-18.584,-39.866,-1448.358
nav,1700000020.800,-18.164,-40.267,-1448.211
nav,1700000020.900,-17.519,-40.520,-1449.169
nav,1700000021.000,-17.195,-38.725,-1448.123
nav,1700000021.100,-18.768,-40.155,-1448.020
nav,1700000021.200,-17.695,-40.557,-1447.545
nav,1700000021.300,-17.138,-40.747,-1447.443
nav,1700000021.400,-16.174,-39.914,-1447.918
nav,1700000021.500,-17.071,-39.692,-1448.573
nav,1700000021.600,-16.718,-40.195,-1446.741
nav,1700000021.700,-16.687,-39.166,-1448.174
nav,1700000021.800,-16.106,-39.840,-1448.015
nav,1700000021.900,-16.111,-39.394,-1447.700
nav,1700000022.000,-16.846,-40.009,-1447.947
nav,1700000022.100,-15.971,-40.041,-1448.306
nav,1700000022.200,-16.408,-39.759,-1447.673
nav,1700000022.300,-16.682,-39.608,-1447.233
nav,1700000022.400,-15.557,-40.658,-1446.909
nav,1700000022.500,-14.825,-38.809,-1447.075
nav,1700000022.600,-14.606,-40.083,-1446.835
nav,1700000022.700,-14.287,-39.374,-1447.462
nav,1700000022.800,-14.618,-40.240,-1446.764
nav,1700000022.900,-13.451,-40.229,-1447.330
nav,1700000023.000,-13.843,-40.123,-1446.600
nav,1700000023.100,-14.926,-40.413,-1447.425
nav,1700000023.200,-14.760,-40.482,-1447.450
nav,1700000023.300,-13.501,-39.444,-1447.073
nav,1700000023.400,-13.715,-40.028,-1446.385
nav,1700000023.500,-13.488,-40.455,-1446.588
nav,1700000023.600,-12.911,-39.676,-1446.833
nav,1700000023.700,-12.249,-40.518,-1446.791
nav,1700000023.800,-12.505,-40.608,-1447.525
nav,1700000023.900,-11.857,-40.175,-1447.213
nav,1700000024.000,-12.048,-39.436,-1447.801
nav,1700000024.100,-12.548,-40.461,-1445.889
nav,1700000024.200,-11.459,-39.616,-1447.148
nav,1700000024.300,-11.960,-39.776,-1446.508
nav,1700000024.400,-10.926,-40.094,-1446.357
nav,1700000024.500,-10.921,-39.611,-1446.051
nav,1700000024.600,-11.610,-41.124,-1445.913
nav,1700000024.700,-10.006,-40.510,-1447.303
nav,1700000024.800,-10.350,-39.535,-1445.433
nav,1700000024.900,-9.942,-40.186,-1446.737
nav,1700000025.000,-9.994,-40.150,-1446.758
nav,1700000025.100,-8.776,-39.107,-1445.641
nav,1700000025.200,-10.060,-39.572,-1445.849
nav,1700000025.300,-9.179,-39.375,-1445.810
nav,1700000025.400,-8.830,-39.682,-1445.917
nav,1700000025.500,-9.892,-39.958,-1446.325
nav,1700000025.600,-9.440,-39.159,-1445.142
nav,1700000025.700,-7.920,-39.872,-1445.290
nav,1700000025.800,-8.394,-39.899,-1446.472
nav,1700000025.900,-8.002,-39.970,-1446.536
nav,1700000026.000,-8.026,-40.040,-1444.946
nav,1700000026.100,-7.353,-39.994,-1445.680
nav,1700000026.200,-7.578,-40.101,-1446.305
nav,1700000026.300,-7.476,-40.373,-1446.349
nav,1700000026.400,-6.944,-39.804,-1446.577
nav,1700000026.500,-7.061,-39.502,-1445.114
nav,1700000026.600,-6.287,-39.981,-1446.026
nav,1700000026.700,-7.142,-39.828,-1445.374
nav,1700000026.800,-5.756,-39.450,-1445.590
nav,1700000026.900,-6.822,-40.160,-1445.375
nav,1700000027.000,-6.101,-40.289,-1445.317
nav,1700000027.100,-6.052,-40.314,-1445.248
nav,1700000027.200,-5.801,-39.878,-1445.228
nav,1700000027.300,-5.970,-40.241,-1444.606
nav,1700000027.400,-5.781,-41.058,-1446.216
nav,1700000027.500,-4.985,-39.985,-1445.304
nav,1700000027.600,-4.193,-41.336,-1445.008
nav,1700000027.700,-3.819,-40.564,-1445.357
nav,1700000027.800,-4.776,-40.447,-1445.290
nav,1700000027.900,-3.486,-39.081,-1445.256
nav,1700000028.000,-3.047,-39.982,-1444.172
nav,1700000028.100,-3.847,-39.934,-1444.827
nav,1700000028.200,-2.011,-39.574,-1445.324
nav,1700000028.300,-2.916,-40.181,-1445.176
nav,1700000028.400,-2.746,-39.984,-1444.753
nav,1700000028.500,-2.993,-39.832,-1444.641
nav,1700000028.600,-3.768,-39.667,-1445.305
nav,1700000028.700,-3.321,-40.029,-1444.733
nav,1700000028.800,-2.747,-39.584,-1445.408
nav,1700000028.900,-2.403,-40.292,-1444.721
nav,1700000029.000,-1.861,-40.504,-1444.297
nav,1700000029.100,-1.768,-40.946,-1445.600
nav,1700000029.200,-1.606,-40.110,-1444.633
nav,1700000029.300,-1.414,-39.887,-1444.069
nav,1700000029.400,-1.756,-40.586,-1445.051
nav,1700000029.500,-0.856,-39.378,-1444.682
nav,1700000029.600,-2.051,-40.852,-1444.844
nav,1700000029.700,-0.879,-40.204,-1444.370
nav,1700000029.800,-0.556,-39.475,-1444.689
nav,1700000029.900,-0.631,-39.761,-1445.081
nav,1700000030.000,0.195,-39.949,-1444.349
nav,1700000030.100,0.994,-40.311,-1443.207
nav,1700000030.200,0.287,-40.639,-1444.164
nav,1700000030.300,0.062,-40.376,-1443.962
nav,1700000030.400,1.078,-40.311,-1443.629
nav,1700000030.500,1.579,-39.282,-1443.820
nav,1700000030.600,1.882,-40.940,-1444.206
nav,1700000030.700,0.966,-39.940,-1444.295
nav,1700000030.800,1.517,-39.059,-1444.057
nav,1700000030.900,2.007,-40.116,-1443.896
nav,1700000031.000,2.003,-39.776,-1443.314
nav,1700000031.100,3.024,-39.845,-1443.564
nav,1700000031.200,1.825,-40.044,-1443.351
nav,1700000031.300,3.033,-39.894,-1443.341
nav,1700000031.400,3.045,-39.400,-1443.602
nav,1700000031.500,2.822,-39.832,-1445.175
nav,1700000031.600,3.391,-41.824,-1444.534
nav,1700000031.700,3.626,-39.761,-1444.216
nav,1700000031.800,3.244,-39.315,-1443.840
nav,1700000031.900,4.921,-40.001,-1443.357
nav,1700000032.000,4.808,-39.934,-1444.025
nav,1700000032.100,4.145,-40.018,-1444.170
nav,1700000032.200,4.272,-40.371,-1442.988
nav,1700000032.300,4.617,-40.141,-1443.467
nav,1700000032.400,4.912,-39.692,-1443.877
nav,1700000032.500,4.479,-39.448,-1443.546
nav,1700000032.600,4.492,-39.778,-1443.072
nav,1700000032.700,4.635,-39.885,-1442.899
nav,1700000032.800,5.787,-39.684,-1443.933
nav,1700000032.900,5.966,-40.151,-1443.436
nav,1700000033.000,6.435,-39.260,-1442.261
nav,1700000033.100,6.857,-40.055,-1442.945
nav,1700000033.200,6.783,-39.939,-1443.020
nav,1700000033.300,7.012,-40.030,-1443.414
nav,1700000033.400,6.593,-39.683,-1443.012
nav,1700000033.500,7.170,-39.665,-1443.165
nav,1700000033.600,7.578,-39.811,-1443.559
nav,1700000033.700,8.121,-40.250,-1443.733
nav,1700000033.800,7.077,-40.511,-1442.843
nav,1700000033.900,7.663,-40.168,-1442.524
nav,1700000034.000,8.170,-39.842,-1442.593
nav,1700000034.100,8.508,-41.054,-1442.945
nav,1700000034.200,7.310,-39.982,-1442.729
nav,1700000034.300,9.123,-39.406,-1442.590
nav,1700000034.400,8.550,-39.757,-1442.920
nav,1700000034.500,8.999,-39.507,-1442.899
nav,1700000034.600,9.603,-39.661,-1443.063
nav,1700000034.700,9.887,-39.651,-1442.499
nav,1700000034.800,9.219,-40.430,-1442.784
nav,1700000034.900,10.071,-40.478,-1442.261
nav,1700000035.000,9.379,-40.102,-1442.390
nav,1700000035.100,11.423,-40.689,-1441.674
nav,1700000035.200,10.475,-39.794,-1442.315
nav,1700000035.300,10.822,-40.077,-1441.613
nav,1700000035.400,10.572,-39.434,-1442.627
nav,1700000035.500,10.970,-40.536,-1442.043
nav,1700000035.600,11.923,-40.039,-1442.334
nav,1700000035.700,10.843,-40.115,-1442.997
nav,1700000035.800,11.144,-39.887,-1441.507
nav,1700000035.900,13.205,-40.293,-1441.414
nav,1700000036.000,12.122,-40.076,-1441.881
nav,1700000036.100,12.231,-39.945,-1442.268
nav,1700000036.200,11.701,-40.772,-1441.702
nav,1700000036.300,12.462,-40.298,-1441.991
nav,1700000036.400,13.197,-39.910,-1442.289
nav,1700000036.500,13.613,-39.210,-1441.680
nav,1700000036.600,13.687,-39.379,-1441.328
nav,1700000036.700,13.707,-39.701,-1441.599
nav,1700000036.800,13.051,-39.650,-1442.503
nav,1700000036.900,13.403,-39.348,-1441.371
nav,1700000037.000,14.744,-40.136,-1442.334
nav,1700000037.100,14.080,-39.949,-1441.684
nav,1700000037.200,14.967,-40.181,-1441.514
nav,1700000037.300,14.106,-39.775,-1441.655
nav,1700000037.400,14.425,-40.118,-1441.716
nav,1700000037.500,14.865,-39.114,-1441.639
nav,1700000037.600,15.078,-41.049,-1442.004
nav,1700000037.700,15.268,-40.343,-1440.833
nav,1700000037.800,15.518,-39.356,-1441.460
nav,1700000037.900,15.819,-40.044,-1441.455
nav,1700000038.000,16.859,-41.160,-1442.425
nav,1700000038.100,15.928,-39.993,-1441.046
nav,1700000038.200,16.637,-40.192,-1440.849
nav,1700000038.300,17.115,-39.908,-1440.844
nav,1700000038.400,16.936,-40.281,-1440.944
nav,1700000038.500,17.055,-39.999,-1440.524
nav,1700000038.600,15.975,-40.709,-1441.821
nav,1700000038.700,17.218,-40.127,-1441.949
nav,1700000038.800,17.107,-40.430,-1439.934
nav,1700000038.900,18.701,-40.206,-1441.312
nav,1700000039.000,17.425,-40.954,-1441.157
nav,1700000039.100,17.701,-40.042,-1441.866
nav,1700000039.200,18.019,-39.926,-1440.851
nav,1700000039.300,18.809,-40.660,-1440.574
nav,1700000039.400,18.400,-39.684,-1440.975
nav,1700000039.500,18.312,-40.158,-1440.755
nav,1700000039.600,19.506,-40.070,-1440.140
nav,1700000039.700,19.904,-40.128,-1440.499
nav,1700000039.800,20.567,-39.020,-1441.456
nav,1700000039.900,19.337,-39.258,-1441.340
nav,1700000040.000,19.339,-40.243,-1440.569
nav,1700000040.100,20.149,-40.325,-1441.085
nav,1700000040.200,20.044,-40.440,-1439.576
nav,1700000040.300,20.749,-39.557,-1440.930
nav,1700000040.400,20.707,-40.357,-1441.980
nav,1700000040.500,20.311,-40.905,-1441.747
nav,1700000040.600,20.602,-39.338,-1440.614
nav,1700000040.700,22.045,-39.795,-1440.169
nav,1700000040.800,21.150,-39.738,-1440.165
nav,1700000040.900,21.512,-39.720,-1440.215
nav,1700000041.000,21.725,-40.561,-1441.060
nav,1700000041.100,22.243,-39.836,-1440.833
nav,1700000041.200,22.413,-39.715,-1440.097
nav,1700000041.300,23.376,-39.362,-1440.876
nav,1700000041.400,23.642,-40.265,-1439.823
nav,1700000041.500,23.034,-40.206,-1441.218
nav,1700000041.600,23.114,-40.780,-1439.801
nav,1700000041.700,24.158,-40.398,-1440.103
nav,1700000041.800,23.237,-40.314,-1439.836
nav,1700000041.900,23.781,-39.130,-1440.435
nav,1700000042.000,24.500,-39.951,-1439.766
nav,1700000042.100,23.976,-40.025,-1440.191
nav,1700000042.200,23.982,-39.669,-1439.778
nav,1700000042.300,24.897,-39.232,-1439.349
nav,1700000042.400,24.613,-39.813,-1440.356
nav,1700000042.500,25.012,-40.300,-1439.204
nav,1700000042.600,25.382,-40.109,-1439.388
nav,1700000042.700,24.315,-41.007,-1439.557
nav,1700000042.800,25.630,-39.875,-1440.589
nav,1700000042.900,25.788,-38.998,-1439.484
