# channel,epoch_s,ph
ph,1700000000.000,7.90545
ph,1700000001.000,7.88999
ph,1700000002.000,7.89140
ph,1700000003.000,7.87695
ph,1700000004.000,7.87927
ph,1700000005.000,7.90253
ph,1700000006.000,7.89363
ph,1700000007.000,7.94849
ph,1700000008.000,7.90989
ph,1700000009.000,7.87425
ph,1700000010.000,7.86564
ph,1700000011.000,7.90314
ph,1700000012.000,7.88576
ph,1700000013.000,7.91851
ph,1700000014.000,7.89533
ph,1700000015.000,7.84744
ph,1700000016.000,7.86367
ph,1700000017.000,7.86708
ph,1700000018.000,7.88552
ph,1700000019.000,7.85132
ph,1700000020.000,7.87079
ph,1700000021.000,7.83611
ph,1700000022.000,7.85789
ph,1700000023.000,7.86008
ph,1700000024.000,7.87693
ph,1700000025.000,7.84790
ph,1700000026.000,7.82236
ph,1700000027.000,7.86483
ph,1700000028.000,7.82830
ph,1700000029.000,7.84525
ph,1700000030.000,7.81623
ph,1700000031.000,7.82998
ph,1700000032.000,7.81278
ph,1700000033.000,7.83682
ph,1700000034.000,7.84890
ph,1700000035.000,7.82615
ph,1700000036.000,7.82889
ph,1700000037.000,7.85143
ph,1700000038.000,7.83253
ph,1700000039.000,7.82362
ph,1700000040.000,7.86605
ph,1700000041.000,7.86177
ph,1700000042.000,7.86610
ph,1700000043.000,7.88358
ph,1700000044.000,7.89051
ph,1700000045.000,7.87781
ph,1700000046.000,7.86191
ph,1700000047.000,7.87450
ph,1700000048.000,7.90147
ph,1700000049.000,7.89461
ph,1700000050.000,7.88264
ph,1700000051.000,7.87939
ph,1700000052.000,7.90859
ph,1700000053.000,7.89273
ph,1700000054.000,7.91294
ph,1700000055.000,7.91603
ph,1700000056.000,7.89261
ph,1700000057.000,7.91818
ph,1700000058.000,7.90219
ph,1700000059.000,7.90495
ph,1700000060.000,7.85595
ph,1700000061.000,9.38018
ph,1700000062.000,7.88110
ph,1700000063.000,7.89283
ph,1700000064.000,9.40119
ph,1700000065.000,7.90161
ph,1700000066.000,7.90369
ph,1700000067.000,7.88361
ph,1700000068.000,7.91028
ph,1700000069.000,7.93157
ph,1700000070.000,7.88699
ph,1700000071.000,7.87918
ph,1700000072.000,7.87682
ph,1700000073.000,7.88997
ph,1700000074.000,7.87510
ph,1700000075.000,7.84797
ph,1700000076.000,7.85003
ph,1700000077.000,7.89577
ph,1700000078.000,7.89687
ph,1700000079.000,7.89881
ph,1700000080.000,7.86668
ph,1700000081.000,7.83755
ph,1700000082.000,7.84379
ph,1700000083.000,7.81800
ph,1700000084.000,7.81272
ph,1700000085.000,7.84426
ph,1700000086.000,7.84625
ph,1700000087.000,7.87156
ph,1700000088.000,7.82836
ph,1700000089.000,7.80129
ph,1700000090.000,7.82529
ph,1700000091.000,7.82223
ph,1700000092.000,7.81909
ph,1700000093.000,7.83767
ph,1700000094.000,7.80916
ph,1700000095.000,7.83940
ph,1700000096.000,7.85373
ph,1700000097.000,7.87345
ph,1700000098.000,7.85593
ph,1700000099.000,7.87543
ph,1700000100.000,7.85058
ph,1700000101.000,7.85819
ph,1700000102.000,7.89588
ph,1700000103.000,7.84587
ph,1700000104.000,7.86929
ph,1700000105.000,7.90360
ph,1700000106.000,7.88010
ph,1700000107.000,7.88149
ph,1700000108.000,7.88438
ph,1700000109.000,7.89414
ph,1700000110.000,7.91528
ph,1700000111.000,7.91350
ph,1700000112.000,7.89642
ph,1700000113.000,7.91897
ph,1700000114.000,7.90469
ph,1700000115.000,7.91561
ph,1700000116.000,7.87829
ph,1700000117.000,7.93395
ph,1700000118.000,7.90383
ph,1700000119.000,7.84463
ph,1700000120.000,7.93252
ph,1700000121.000,7.89914
ph,1700000122.000,7.89075
ph,1700000123.000,7.88603
ph,1700000124.000,7.90625
ph,1700000125.000,7.87882
ph,1700000126.000,7.88392
ph,1700000127.000,7.88300
ph,1700000128.000,7.88647
ph,1700000129.000,7.87990
ph,1700000130.000,7.90474
ph,1700000131.000,7.89015
ph,1700000132.000,7.88919
ph,1700000133.000,7.88969
ph,1700000134.000,7.87136
ph,1700000135.000,7.84819
ph,1700000136.000,7.89978
ph,1700000137.000,7.87713
ph,1700000138.000,7.88568
ph,1700000139.000,7.86903
ph,1700000140.000,7.83431
ph,1700000141.000,7.79213
ph,1700000142.000,7.81065
ph,1700000143.000,7.84482
ph,1700000144.000,7.82774
ph,1700000145.000,7.82000
ph,1700000146.000,7.77810
ph,1700000147.000,7.82836
ph,1700000148.000,7.80857
ph,1700000149.000,7.81822
ph,1700000150.000,7.85301
ph,1700000151.000,7.81940
ph,1700000152.000,7.82582
ph,1700000153.000,7.85308
ph,1700000154.000,7.87189
ph,1700000155.000,7.85152
ph,1700000156.000,7.89396
ph,1700000157.000,7.84388
ph,1700000158.000,7.84490
ph,1700000159.000,7.84735
ph,1700000160.000,7.84884
ph,1700000161.000,7.89191
ph,1700000162.000,7.86849
ph,1700000163.000,7.86228
ph,1700000164.000,7.90012
ph,1700000165.000,7.91068
ph,1700000166.000,7.91658
ph,1700000167.000,7.91416
ph,1700000168.000,7.87914
ph,1700000169.000,7.90369
ph,1700000170.000,7.90861
ph,1700000171.000,7.88955
ph,1700000172.000,7.90262
ph,1700000173.000,7.87450
ph,1700000174.000,7.88712
ph,1700000175.000,7.90721
ph,1700000176.000,7.93000
ph,1700000177.000,7.92293
ph,1700000178.000,7.91315
ph,1700000179.000,7.90155
ph,1700000180.000,7.89847
ph,1700000181.000,7.87101
ph,1700000182.000,7.88324
ph,1700000183.000,7.88388
ph,1700000184.000,7.91142
ph,1700000185.000,7.91880
ph,1700000186.000,7.91461
ph,1700000187.000,7.92350
ph,1700000188.000,7.90126
ph,1700000189.000,7.88012
ph,1700000190.000,7.89873
ph,1700000191.000,7.88519
ph,1700000192.000,7.91279
ph,1700000193.000,7.89239
ph,1700000194.000,7.89754
ph,1700000195.000,7.91332
ph,1700000196.000,7.88456
ph,1700000197.000,7.91860
ph,1700000198.000,7.87230
ph,1700000199.000,7.90532
ph,1700000200.000,7.89732
ph,1700000201.000,7.91563
ph,1700000202.000,7.87155
ph,1700000203.000,7.86839
ph,1700000204.000,7.91398
ph,1700000205.000,7.89114
ph,1700000206.000,7.89714
ph,1700000207.000,7.88576
ph,1700000208.000,7.91723
ph,1700000209.000,7.90498
ph,1700000210.000,7.90384
ph,1700000211.000,7.87568
ph,1700000212.000,7.90915
ph,1700000213.000,7.87933
ph,1700000214.000,7.88606
ph,1700000215.000,7.87199
ph,1700000216.000,7.89623
ph,1700000217.000,7.92071
ph,1700000218.000,7.90402
ph,1700000219.000,7.89071
ph,1700000220.000,7.90178
ph,1700000221.000,7.90173
ph,1700000222.000,7.90102
ph,1700000223.000,7.90329
ph,1700000224.000,7.87899
ph,1700000225.000,7.90195
ph,1700000226.000,7.86475
ph,1700000227.000,7.91139
ph,1700000228.000,7.87785
ph,1700000229.000,7.92347
ph,1700000230.000,7.85103
ph,1700000231.000,7.93344
ph,1700000232.000,7.86718
ph,1700000233.000,7.87597
ph,1700000234.000,7.90596
ph,1700000235.000,7.91236
ph,1700000236.000,7.89432
ph,1700000237.000,7.91784
ph,1700000238.000,7.88406
ph,1700000239.000,7.89200
ph,1700000240.000,7.89395
ph,1700000241.000,7.88922
ph,1700000242.000,7.86130
ph,1700000243.000,7.89948
ph,1700000244.000,7.89766
ph,1700000245.000,7.92151
ph,1700000246.000,7.87421
ph,1700000247.000,7.88711
ph,1700000248.000,7.92393
ph,1700000249.000,7.90567
ph,1700000250.000,7.91072
ph,1700000251.000,7.90870
ph,1700000252.000,7.90867
ph,1700000253.000,7.93577
ph,1700000254.000,7.90098
ph,1700000255.000,7.87867
ph,1700000256.000,7.91136
ph,1700000257.000,7.88688
ph,1700000258.000,7.89555
ph,1700000259.000,7.90461
ph,1700000260.000,7.88015
ph,1700000261.000,7.88565
ph,1700000262.000,7.90454
ph,1700000263.000,7.88313
ph,1700000264.000,7.91256
ph,1700000265.000,7.87228
ph,1700000266.000,7.87106
ph,1700000267.000,7.92777
ph,1700000268.000,7.85782
ph,1700000269.000,7.88668
ph,1700000270.000,7.92308
ph,1700000271.000,7.88439
ph,1700000272.000,7.91091
ph,1700000273.000,7.89619
ph,1700000274.000,7.88234
ph,1700000275.000,7.87941
ph,1700000276.000,7.83939
ph,1700000277.000,7.87538
ph,1700000278.000,7.88662
ph,1700000279.000,7.88705
ph,1700000280.000,7.93237
ph,1700000281.000,6.38951
ph,1700000282.000,7.89748
ph,1700000283.000,7.90928
ph,1700000284.000,7.89799
ph,1700000285.000,7.88671
ph,1700000286.000,7.88807
ph,1700000287.000,7.88393
ph,1700000288.000,7.90103
ph,1700000289.000,7.88987
ph,1700000290.000,7.90682
ph,1700000291.000,7.87509
ph,1700000292.000,7.89905
ph,1700000293.000,7.92789
ph,1700000294.000,7.89299
ph,1700000295.000,7.93487
ph,1700000296.000,7.90173
ph,1700000297.000,7.89768
ph,1700000298.000,7.90143
ph,1700000299.000,7.89310
ph,1700000300.000,7.85989
ph,1700000301.000,7.91685
ph,1700000302.000,7.94272
ph,1700000303.000,7.90794
ph,1700000304.000,7.90838
ph,1700000305.000,7.89283
ph,1700000306.000,7.91815
ph,1700000307.000,7.89221
ph,1700000308.000,7.89567
ph,1700000309.000,7.85552
ph,1700000310.000,7.87171
ph,1700000311.000,7.88391
ph,1700000312.000,7.88753
ph,1700000313.000,7.87927
ph,1700000314.000,7.81835
ph,1700000315.000,7.80774
ph,1700000316.000,7.83425
ph,1700000317.000,7.79076
ph,1700000318.000,7.80464
ph,1700000319.000,7.73326
ph,1700000320.000,7.74135
ph,1700000321.000,7.71882
ph,1700000322.000,7.70454
ph,1700000323.000,7.64958
ph,1700000324.000,7.60669
ph,1700000325.000,7.62655
ph,1700000326.000,7.61281
ph,1700000327.000,7.60437
ph,1700000328.000,7.56243
ph,1700000329.000,7.57449
ph,1700000330.000,7.56246
ph,1700000331.000,7.57761
ph,1700000332.000,7.55315
ph,1700000333.000,7.52731
ph,1700000334.000,7.57243
ph,1700000335.000,7.59119
ph,1700000336.000,7.61858
ph,1700000337.000,7.59884
ph,1700000338.000,7.64626
ph,1700000339.000,7.69388
ph,1700000340.000,7.69876
ph,1700000341.000,7.71870
ph,1700000342.000,7.78603
ph,1700000343.000,7.74825
ph,1700000344.000,7.81438
ph,1700000345.000,7.82832
ph,1700000346.000,7.81956
ph,1700000347.000,7.83752
ph,1700000348.000,7.84958
ph,1700000349.000,7.86421
ph,1700000350.000,7.85721
ph,1700000351.000,7.86753
ph,1700000352.000,7.87463
ph,1700000353.000,7.87975
ph,1700000354.000,7.88351
ph,1700000355.000,7.84762
ph,1700000356.000,7.89646
ph,1700000357.000,7.88550
ph,1700000358.000,7.85986
ph,1700000359.000,7.89104
ph,1700000360.000,7.89016
ph,1700000361.000,7.92232
ph,1700000362.000,7.88470
ph,1700000363.000,7.90704
ph,1700000364.000,7.91892
ph,1700000365.000,7.87551
ph,1700000366.000,7.88296
ph,1700000367.000,7.91312
ph,1700000368.000,7.87633
ph,1700000369.000,7.87072
ph,1700000370.000,7.84460
ph,1700000371.000,7.85371
ph,1700000372.000,7.82386
ph,1700000373.000,7.76992
ph,1700000374.000,7.77841
ph,1700000375.000,7.73773
ph,1700000376.000,7.73644
ph,1700000377.000,7.68569
ph,1700000378.000,7.68069
ph,1700000379.000,7.63679
ph,1700000380.000,7.57393
ph,1700000381.000,7.55095
ph,1700000382.000,7.53488
ph,1700000383.000,7.50780
ph,1700000384.000,7.43090
ph,1700000385.000,7.39388
ph,1700000386.000,7.42556
ph,1700000387.000,7.36185
ph,1700000388.000,7.34502
ph,1700000389.000,7.31586
ph,1700000390.000,7.32920
ph,1700000391.000,7.36045
ph,1700000392.000,7.33947
ph,1700000393.000,7.37061
ph,1700000394.000,7.37100
ph,1700000395.000,7.37647
ph,1700000396.000,7.41445
ph,1700000397.000,7.44043
ph,1700000398.000,7.50430
ph,1700000399.000,7.56298
ph,1700000400.000,7.58064
ph,1700000401.000,7.60960
ph,1700000402.000,7.63689
ph,1700000403.000,7.69464
ph,1700000404.000,7.69502
ph,1700000405.000,7.72640
ph,1700000406.000,7.79323
ph,1700000407.000,7.79261
ph,1700000408.000,7.81201
ph,1700000409.000,7.83137
ph,1700000410.000,7.86330
ph,1700000411.000,7.86363
ph,1700000412.000,7.85479
ph,1700000413.000,7.86296
ph,1700000414.000,7.87904
ph,1700000415.000,7.89351
ph,1700000416.000,7.89020
ph,1700000417.000,7.89100
ph,1700000418.000,7.89633
ph,1700000419.000,7.89608
ph,1700000420.000,7.88219
ph,1700000421.000,7.91901
ph,1700000422.000,7.88596
ph,1700000423.000,7.89651
ph,1700000424.000,7.85050
ph,1700000425.000,7.88452
ph,1700000426.000,7.86316
ph,1700000427.000,7.86097
ph,1700000428.000,7.92330
ph,1700000429.000,7.87294
ph,1700000430.000,7.88423
ph,1700000431.000,7.86715
ph,1700000432.000,7.85858
ph,1700000433.000,7.82235
ph,1700000434.000,7.84452
ph,1700000435.000,7.81420
ph,1700000436.000,7.78201
ph,1700000437.000,7.76977
ph,1700000438.000,7.74489
ph,1700000439.000,7.73206
ph,1700000440.000,7.71434
ph,1700000441.000,7.70837
ph,1700000442.000,7.72292
ph,1700000443.000,7.65373
ph,1700000444.000,7.69313
ph,1700000445.000,7.65842
ph,1700000446.000,7.68990
ph,1700000447.000,7.65983
ph,1700000448.000,7.67995
ph,1700000449.000,7.67668
ph,1700000450.000,7.65605
ph,1700000451.000,7.73846
ph,1700000452.000,7.69957
ph,1700000453.000,7.73604
ph,1700000454.000,7.72993
ph,1700000455.000,7.74102
ph,1700000456.000,7.78015
ph,1700000457.000,7.78819
ph,1700000458.000,7.79151
ph,1700000459.000,7.82778
ph,1700000460.000,7.81109
ph,1700000461.000,7.85404
ph,1700000462.000,7.85834
ph,1700000463.000,7.81926
ph,1700000464.000,7.86508
ph,1700000465.000,7.89041
ph,1700000466.000,7.86423
ph,1700000467.000,7.89929
ph,1700000468.000,7.90049
ph,1700000469.000,7.87364
ph,1700000470.000,7.89540
ph,1700000471.000,7.91338
ph,1700000472.000,7.88026
ph,1700000473.000,7.89434
ph,1700000474.000,7.92194
ph,1700000475.000,7.88212
ph,1700000476.000,7.90869
ph,1700000477.000,7.87809
ph,1700000478.000,7.89657
ph,1700000479.000,7.90880
ph,1700000480.000,7.85179
ph,1700000481.000,7.88916
ph,1700000482.000,7.90838
ph,1700000483.000,7.90425
ph,1700000484.000,7.88921
ph,1700000485.000,7.87747
ph,1700000486.000,7.91203
ph,1700000487.000,7.89288
ph,1700000488.000,7.91009
ph,1700000489.000,7.90661
ph,1700000490.000,7.88987
ph,1700000491.000,7.92005
ph,1700000492.000,7.88648
ph,1700000493.000,7.92192
