# channel,epoch_s,temperature
temperature,1700000000.000,2.13232
temperature,1700000000.250,2.17955
temperature,1700000000.500,2.06719
temperature,1700000000.750,2.07343
temperature,1700000001.000,2.09033
temperature,1700000001.250,2.11542
temperature,1700000001.500,2.10580
temperature,1700000001.750,2.13127
temperature,1700000002.000,2.04490
temperature,1700000002.250,2.12113
temperature,1700000002.500,2.06431
temperature,1700000002.750,5.09440
temperature,1700000003.000,2.18712
temperature,1700000003.250,2.03198
temperature,1700000003.500,2.08811
temperature,1700000003.750,2.03856
temperature,1700000004.000,2.11017
temperature,1700000004.250,2.15517
temperature,1700000004.500,2.11151
temperature,1700000004.750,2.09748
temperature,1700000005.000,2.17005
temperature,1700000005.250,2.12049
temperature,1700000005.500,2.14531
temperature,1700000005.750,2.14049
temperature,1700000006.000,1.96134
temperature,1700000006.250,2.10178
temperature,1700000006.500,2.05220
temperature,1700000006.750,2.06517
temperature,1700000007.000,2.18094
temperature,1700000007.250,2.08909
temperature,1700000007.500,2.20312
temperature,1700000007.750,2.03882
temperature,1700000008.000,2.05578
temperature,1700000008.250,2.14889
temperature,1700000008.500,2.09458
temperature,1700000008.750,2.12794
temperature,1700000009.000,2.10795
temperature,1700000009.250,2.10750
temperature,1700000009.500,2.10054
temperature,1700000009.750,2.12593
temperature,1700000010.000,2.15031
temperature,1700000010.250,2.20030
temperature,1700000010.500,2.11088
temperature,1700000010.750,2.10285
temperature,1700000011.000,2.09801
temperature,1700000011.250,2.19932
temperature,1700000011.500,2.16215
temperature,1700000011.750,2.03457
temperature,1700000012.000,2.03436
temperature,1700000012.250,2.09212
temperature,1700000012.500,2.14734
temperature,1700000012.750,2.13648
temperature,1700000013.000,2.16633
temperature,1700000013.250,2.13438
temperature,1700000013.500,2.21570
temperature,1700000013.750,2.18723
temperature,1700000014.000,2.15543
temperature,1700000014.250,2.21187
temperature,1700000014.500,2.07534
temperature,1700000014.750,2.15685
temperature,1700000015.000,2.17143
temperature,1700000015.250,2.19825
temperature,1700000015.500,2.08611
temperature,1700000015.750,2.16271
temperature,1700000016.000,2.19975
temperature,1700000016.250,2.20772
temperature,1700000016.500,2.24744
temperature,1700000016.750,2.23062
temperature,1700000017.000,2.19405
