# channel,epoch_s,turbidity
turbidity,1700000000.000,-1.14664
turbidity,1700000001.000,0.89530
turbidity,1700000002.000,1.70065
turbidity,1700000003.000,-0.10201
turbidity,1700000004.000,1.86947
turbidity,1700000005.000,-1.34627
turbidity,1700000006.000,-0.88306
turbidity,1700000007.000,0.17251
turbidity,1700000008.000,-0.04420
turbidity,1700000009.000,-0.33095
turbidity,1700000010.000,0.48227
turbidity,1700000011.000,-0.16423
turbidity,1700000012.000,0.02508
turbidity,1700000013.000,0.68667
turbidity,1700000014.000,-0.23007
turbidity,1700000015.000,0.36613
turbidity,1700000016.000,-0.13294
turbidity,1700000017.000,-0.64671
turbidity,1700000018.000,1.37466
turbidity,1700000019.000,2.37609
turbidity,1700000020.000,1.79477
turbidity,1700000021.000,1.12730
turbidity,1700000022.000,0.22153
turbidity,1700000023.000,0.64402
turbidity,1700000024.000,2.05436
turbidity,1700000025.000,-1.22129
turbidity,1700000026.000,0.75417
turbidity,1700000027.000,1.90114
turbidity,1700000028.000,0.06889
turbidity,1700000029.000,1.65974
turbidity,1700000030.000,1.63043
turbidity,1700000031.000,-0.19654
turbidity,1700000032.000,1.33626
turbidity,1700000033.000,0.61084
turbidity,1700000034.000,1.61177
turbidity,1700000035.000,1.82253
turbidity,1700000036.000,1.50007
turbidity,1700000037.000,-23.88468
turbidity,1700000038.000,1.26841
turbidity,1700000039.000,-0.26247
turbidity,1700000040.000,0.81608
turbidity,1700000041.000,-0.01549
turbidity,1700000042.000,1.74915
turbidity,1700000043.000,1.34114
turbidity,1700000044.000,1.28319
turbidity,1700000045.000,2.26637
turbidity,1700000046.000,0.17853
turbidity,1700000047.000,-0.07927
turbidity,1700000048.000,0.08282
turbidity,1700000049.000,-1.19397
turbidity,1700000050.000,-1.13875
turbidity,1700000051.000,0.98675
turbidity,1700000052.000,-1.04498
turbidity,1700000053.000,-0.73706
turbidity,1700000054.000,0.22649
turbidity,1700000055.000,-0.09147
turbidity,1700000056.000,1.20074
turbidity,1700000057.000,0.37130
turbidity,1700000058.000,-0.49078
turbidity,1700000059.000,1.27702
turbidity,1700000060.000,1.03252
turbidity,1700000061.000,-1.10564
turbidity,1700000062.000,0.55983
turbidity,1700000063.000,-0.40449
turbidity,1700000064.000,-0.42680
turbidity,1700000065.000,2.18950
turbidity,1700000066.000,0.45123
turbidity,1700000067.000,0.11840
turbidity,1700000068.000,0.43229
turbidity,1700000069.000,1.23583
turbidity,1700000070.000,-0.32242
turbidity,1700000071.000,-0.13026
turbidity,1700000072.000,1.08292
turbidity,1700000073.000,-1.05983
turbidity,1700000074.000,1.48261
turbidity,1700000075.000,-1.07293
turbidity,1700000076.000,0.33206
turbidity,1700000077.000,-0.97045
turbidity,1700000078.000,-0.37274
turbidity,1700000079.000,2.04020
turbidity,1700000080.000,1.84901
turbidity,1700000081.000,2.01969
turbidity,1700000082.000,-0.51639
turbidity,1700000083.000,-0.05541
turbidity,1700000084.000,1.39568
turbidity,1700000085.000,1.82661
turbidity,1700000086.000,0.36086
turbidity,1700000087.000,0.62250
turbidity,1700000088.000,0.10167
turbidity,1700000089.000,2.91227
turbidity,1700000090.000,0.78871
turbidity,1700000091.000,1.29286
turbidity,1700000092.000,1.33142
turbidity,1700000093.000,2.32837
turbidity,1700000094.000,0.23491
turbidity,1700000095.000,2.31112
turbidity,1700000096.000,-0.18801
turbidity,1700000097.000,2.19833
turbidity,1700000098.000,-0.74495
turbidity,1700000099.000,0.80119
turbidity,1700000100.000,2.46597
turbidity,1700000101.000,1.47355
turbidity,1700000102.000,1.13565
turbidity,1700000103.000,-0.39240
turbidity,1700000104.000,-0.13283
turbidity,1700000105.000,1.89728
turbidity,1700000106.000,0.98141
turbidity,1700000107.000,1.36088
turbidity,1700000108.000,0.51127
turbidity,1700000109.000,0.12760
turbidity,1700000110.000,1.15248
turbidity,1700000111.000,0.62585
turbidity,1700000112.000,0.18089
turbidity,1700000113.000,-1.07563
turbidity,1700000114.000,1.28249
turbidity,1700000115.000,0.76103
turbidity,1700000116.000,-0.29103
turbidity,1700000117.000,1.49015
turbidity,1700000118.000,0.55151
turbidity,1700000119.000,0.56876
turbidity,1700000120.000,1.19286
turbidity,1700000121.000,0.98146
turbidity,1700000122.000,0.61157
turbidity,1700000123.000,0.13618
turbidity,1700000124.000,2.31748
turbidity,1700000125.000,-0.38825
turbidity,1700000126.000,1.10648
turbidity,1700000127.000,0.29543
turbidity,1700000128.000,0.85719
turbidity,1700000129.000,1.66406
turbidity,1700000130.000,0.15265
turbidity,1700000131.000,1.10546
turbidity,1700000132.000,0.81455
turbidity,1700000133.000,-0.04104
turbidity,1700000134.000,1.91517
turbidity,1700000135.000,1.42994
turbidity,1700000136.000,0.34972
turbidity,1700000137.000,1.95587
turbidity,1700000138.000,0.08966
turbidity,1700000139.000,0.95981
turbidity,1700000140.000,0.62394
turbidity,1700000141.000,1.86347
turbidity,1700000142.000,0.68391
turbidity,1700000143.000,1.96401
turbidity,1700000144.000,1.83075
turbidity,1700000145.000,0.87940
turbidity,1700000146.000,3.08957
turbidity,1700000147.000,0.50647
turbidity,1700000148.000,-0.17846
turbidity,1700000149.000,2.05338
turbidity,1700000150.000,-0.99616
turbidity,1700000151.000,2.59200
turbidity,1700000152.000,1.14184
turbidity,1700000153.000,-0.45188
turbidity,1700000154.000,-0.04108
turbidity,1700000155.000,-0.79510
turbidity,1700000156.000,1.15466
turbidity,1700000157.000,-0.61959
turbidity,1700000158.000,1.14901
turbidity,1700000159.000,0.28665
turbidity,1700000160.000,0.06623
turbidity,1700000161.000,1.00691
turbidity,1700000162.000,1.08291
turbidity,1700000163.000,1.57270
turbidity,1700000164.000,-0.23409
turbidity,1700000165.000,0.34746
turbidity,1700000166.000,-0.27621
turbidity,1700000167.000,0.50762
turbidity,1700000168.000,-0.44503
turbidity,1700000169.000,-0.09964
turbidity,1700000170.000,-0.10124
turbidity,1700000171.000,0.60609
turbidity,1700000172.000,0.31196
turbidity,1700000173.000,0.81259
turbidity,1700000174.000,0.19734
turbidity,1700000175.000,-0.27680
turbidity,1700000176.000,0.49327
turbidity,1700000177.000,-0.61586
turbidity,1700000178.000,0.87003
turbidity,1700000179.000,0.01510
turbidity,1700000180.000,0.50488
turbidity,1700000181.000,0.52050
turbidity,1700000182.000,1.90217
turbidity,1700000183.000,0.68240
turbidity,1700000184.000,0.37426
turbidity,1700000185.000,-0.39106
turbidity,1700000186.000,1.10403
turbidity,1700000187.000,0.03183
turbidity,1700000188.000,-1.22299
turbidity,1700000189.000,0.10791
turbidity,1700000190.000,0.49508
turbidity,1700000191.000,-0.51427
turbidity,1700000192.000,0.18677
turbidity,1700000193.000,0.23423
turbidity,1700000194.000,0.25062
turbidity,1700000195.000,1.54201
turbidity,1700000196.000,-1.00332
turbidity,1700000197.000,2.34291
turbidity,1700000198.000,0.27712
turbidity,1700000199.000,0.89099
turbidity,1700000200.000,0.43937
turbidity,1700000201.000,-1.41380
turbidity,1700000202.000,-0.74377
turbidity,1700000203.000,-0.21099
turbidity,1700000204.000,1.30737
turbidity,1700000205.000,-1.07045
turbidity,1700000206.000,-0.54178
turbidity,1700000207.000,0.47875
turbidity,1700000208.000,0.78655
turbidity,1700000209.000,0.75609
turbidity,1700000210.000,-0.67109
turbidity,1700000211.000,-1.28563
turbidity,1700000212.000,0.85076
turbidity,1700000213.000,1.74410
turbidity,1700000214.000,-0.03511
turbidity,1700000215.000,-0.83531
turbidity,1700000216.000,-0.12134
turbidity,1700000217.000,0.70177
turbidity,1700000218.000,0.07374
turbidity,1700000219.000,1.71328
turbidity,1700000220.000,1.23030
turbidity,1700000221.000,0.48896
turbidity,1700000222.000,-1.65035
turbidity,1700000223.000,-0.38888
turbidity,1700000224.000,-0.24517
turbidity,1700000225.000,-0.44423
turbidity,1700000226.000,0.49279
turbidity,1700000227.000,0.51306
turbidity,1700000228.000,-1.37277
turbidity,1700000229.000,1.10565
turbidity,1700000230.000,0.31696
turbidity,1700000231.000,0.65830
turbidity,1700000232.000,1.04534
turbidity,1700000233.000,-0.46657
turbidity,1700000234.000,1.55921
turbidity,1700000235.000,0.15844
turbidity,1700000236.000,1.81272
turbidity,1700000237.000,-0.59380
turbidity,1700000238.000,1.73834
turbidity,1700000239.000,24.39609
turbidity,1700000240.000,2.84888
turbidity,1700000241.000,-0.65168
turbidity,1700000242.000,1.35681
turbidity,1700000243.000,-0.06207
turbidity,1700000244.000,1.01550
turbidity,1700000245.000,0.26016
turbidity,1700000246.000,-0.79026
turbidity,1700000247.000,-2.49546
turbidity,1700000248.000,2.80950
turbidity,1700000249.000,0.37567
turbidity,1700000250.000,-2.63992
turbidity,1700000251.000,0.60750
turbidity,1700000252.000,0.99613
turbidity,1700000253.000,-0.40641
turbidity,1700000254.000,-0.39700
turbidity,1700000255.000,0.29487
turbidity,1700000256.000,1.52146
turbidity,1700000257.000,0.42388
turbidity,1700000258.000,1.79322
turbidity,1700000259.000,1.46842
turbidity,1700000260.000,0.11683
turbidity,1700000261.000,-1.21521
turbidity,1700000262.000,0.13964
turbidity,1700000263.000,0.90508
turbidity,1700000264.000,0.45197
turbidity,1700000265.000,1.04106
turbidity,1700000266.000,1.28547
turbidity,1700000267.000,0.96892
turbidity,1700000268.000,0.17900
turbidity,1700000269.000,0.99034
turbidity,1700000270.000,2.72151
turbidity,1700000271.000,-0.98931
turbidity,1700000272.000,1.00091
turbidity,1700000273.000,2.35676
turbidity,1700000274.000,-0.64103
turbidity,1700000275.000,1.54081
turbidity,1700000276.000,1.67768
turbidity,1700000277.000,-0.93366
turbidity,1700000278.000,1.25269
turbidity,1700000279.000,0.26319
turbidity,1700000280.000,0.46547
turbidity,1700000281.000,0.18989
turbidity,1700000282.000,1.81438
turbidity,1700000283.000,0.37476
turbidity,1700000284.000,0.00760
turbidity,1700000285.000,0.00789
turbidity,1700000286.000,0.09642
turbidity,1700000287.000,-0.65875
turbidity,1700000288.000,-0.06737
turbidity,1700000289.000,0.50732
turbidity,1700000290.000,0.78008
turbidity,1700000291.000,1.56710
turbidity,1700000292.000,0.59280
turbidity,1700000293.000,-0.13246
turbidity,1700000294.000,-0.67744
turbidity,1700000295.000,0.62099
turbidity,1700000296.000,0.20325
turbidity,1700000297.000,0.23151
turbidity,1700000298.000,0.57451
turbidity,1700000299.000,0.82833
turbidity,1700000300.000,0.57632
turbidity,1700000301.000,0.13951
turbidity,1700000302.000,-0.48632
turbidity,1700000303.000,-0.29047
turbidity,1700000304.000,1.18085
turbidity,1700000305.000,-0.07664
turbidity,1700000306.000,-0.97936
turbidity,1700000307.000,1.55298
turbidity,1700000308.000,24.48663
turbidity,1700000309.000,0.51096
turbidity,1700000310.000,1.02715
turbidity,1700000311.000,0.61576
turbidity,1700000312.000,-1.76996
turbidity,1700000313.000,1.21615
turbidity,1700000314.000,2.29403
turbidity,1700000315.000,1.92253
turbidity,1700000316.000,-0.79157
turbidity,1700000317.000,3.68457
turbidity,1700000318.000,0.48419
turbidity,1700000319.000,1.01009
turbidity,1700000320.000,3.17098
turbidity,1700000321.000,3.15945
turbidity,1700000322.000,3.11461
turbidity,1700000323.000,2.79454
turbidity,1700000324.000,5.01722
turbidity,1700000325.000,3.95229
turbidity,1700000326.000,2.70373
turbidity,1700000327.000,5.74271
turbidity,1700000328.000,4.92465
turbidity,1700000329.000,5.96205
turbidity,1700000330.000,5.50259
turbidity,1700000331.000,7.34283
turbidity,1700000332.000,4.59991
turbidity,1700000333.000,4.82401
turbidity,1700000334.000,5.36936
turbidity,1700000335.000,4.13725
turbidity,1700000336.000,4.99306
turbidity,1700000337.000,0.95939
turbidity,1700000338.000,3.52718
turbidity,1700000339.000,3.17673
turbidity,1700000340.000,2.81626
turbidity,1700000341.000,1.75885
turbidity,1700000342.000,3.23409
turbidity,1700000343.000,1.53357
turbidity,1700000344.000,1.97066
turbidity,1700000345.000,1.49087
turbidity,1700000346.000,1.81291
turbidity,1700000347.000,2.55521
turbidity,1700000348.000,1.15758
turbidity,1700000349.000,1.66713
turbidity,1700000350.000,0.85684
turbidity,1700000351.000,0.11277
turbidity,1700000352.000,0.40202
turbidity,1700000353.000,0.20027
turbidity,1700000354.000,1.00514
turbidity,1700000355.000,0.50747
turbidity,1700000356.000,-0.42097
turbidity,1700000357.000,0.13066
turbidity,1700000358.000,-1.18860
turbidity,1700000359.000,0.14154
turbidity,1700000360.000,0.33095
turbidity,1700000361.000,2.15095
turbidity,1700000362.000,1.70865
turbidity,1700000363.000,-0.64984
turbidity,1700000364.000,0.61821
turbidity,1700000365.000,0.67833
turbidity,1700000366.000,0.28411
turbidity,1700000367.000,0.41930
turbidity,1700000368.000,0.32270
turbidity,1700000369.000,2.66282
turbidity,1700000370.000,0.51392
turbidity,1700000371.000,1.44134
turbidity,1700000372.000,-1.22445
turbidity,1700000373.000,2.36936
turbidity,1700000374.000,3.01073
turbidity,1700000375.000,1.09606
turbidity,1700000376.000,1.99887
turbidity,1700000377.000,3.36454
turbidity,1700000378.000,3.37112
turbidity,1700000379.000,4.28772
turbidity,1700000380.000,4.02754
turbidity,1700000381.000,6.68588
turbidity,1700000382.000,4.66397
turbidity,1700000383.000,8.52699
turbidity,1700000384.000,7.55601
turbidity,1700000385.000,7.58774
turbidity,1700000386.000,6.10569
turbidity,1700000387.000,8.38246
turbidity,1700000388.000,8.32812
turbidity,1700000389.000,5.77173
turbidity,1700000390.000,6.56348
turbidity,1700000391.000,8.30899
turbidity,1700000392.000,7.70828
turbidity,1700000393.000,7.12601
turbidity,1700000394.000,8.43995
turbidity,1700000395.000,6.12302
turbidity,1700000396.000,6.13657
turbidity,1700000397.000,5.48245
turbidity,1700000398.000,6.14426
turbidity,1700000399.000,3.40057
turbidity,1700000400.000,4.10343
turbidity,1700000401.000,2.36717
turbidity,1700000402.000,3.28465
turbidity,1700000403.000,3.85592
turbidity,1700000404.000,3.44376
turbidity,1700000405.000,1.58463
turbidity,1700000406.000,2.49692
turbidity,1700000407.000,1.47259
turbidity,1700000408.000,2.75499
turbidity,1700000409.000,1.04000
turbidity,1700000410.000,-1.99014
turbidity,1700000411.000,1.72379
turbidity,1700000412.000,0.24550
turbidity,1700000413.000,0.33115
turbidity,1700000414.000,0.86334
turbidity,1700000415.000,-0.95757
turbidity,1700000416.000,0.49587
turbidity,1700000417.000,0.92124
turbidity,1700000418.000,0.72531
turbidity,1700000419.000,-0.25626
turbidity,1700000420.000,1.32126
turbidity,1700000421.000,-0.65578
turbidity,1700000422.000,-0.26699
turbidity,1700000423.000,0.24502
turbidity,1700000424.000,0.70609
turbidity,1700000425.000,0.12446
turbidity,1700000426.000,1.72654
turbidity,1700000427.000,0.85467
turbidity,1700000428.000,0.71090
turbidity,1700000429.000,0.98748
turbidity,1700000430.000,1.57016
turbidity,1700000431.000,1.20690
turbidity,1700000432.000,-0.69499
turbidity,1700000433.000,2.37174
turbidity,1700000434.000,1.58776
turbidity,1700000435.000,2.35470
turbidity,1700000436.000,1.47825
turbidity,1700000437.000,0.27993
turbidity,1700000438.000,0.05281
turbidity,1700000439.000,1.60872
turbidity,1700000440.000,3.28112
turbidity,1700000441.000,4.25471
turbidity,1700000442.000,3.42705
turbidity,1700000443.000,2.21000
turbidity,1700000444.000,2.57874
turbidity,1700000445.000,4.78371
turbidity,1700000446.000,2.12918
turbidity,1700000447.000,5.51507
turbidity,1700000448.000,5.22014
turbidity,1700000449.000,5.36999
turbidity,1700000450.000,3.47192
turbidity,1700000451.000,2.57610
turbidity,1700000452.000,3.07739
turbidity,1700000453.000,3.41705
turbidity,1700000454.000,1.63617
turbidity,1700000455.000,0.96200
turbidity,1700000456.000,1.55938
turbidity,1700000457.000,0.86018
turbidity,1700000458.000,2.67576
turbidity,1700000459.000,0.63707
turbidity,1700000460.000,1.18597
turbidity,1700000461.000,1.92934
turbidity,1700000462.000,2.10129
turbidity,1700000463.000,0.92368
turbidity,1700000464.000,1.01039
turbidity,1700000465.000,-0.46421
turbidity,1700000466.000,-23.48357
turbidity,1700000467.000,1.70952
turbidity,1700000468.000,-1.46156
turbidity,1700000469.000,2.14296
turbidity,1700000470.000,-0.34256
turbidity,1700000471.000,0.93627
turbidity,1700000472.000,0.40703
turbidity,1700000473.000,0.26021
turbidity,1700000474.000,0.10768
turbidity,1700000475.000,-0.68289
turbidity,1700000476.000,0.83034
turbidity,1700000477.000,0.01828
turbidity,1700000478.000,-1.00658
turbidity,1700000479.000,-0.73316
turbidity,1700000480.000,-0.99086
turbidity,1700000481.000,-0.22249
turbidity,1700000482.000,0.78786
turbidity,1700000483.000,-0.40755
turbidity,1700000484.000,1.28002
turbidity,1700000485.000,0.18657
turbidity,1700000486.000,0.01783
turbidity,1700000487.000,0.32571
turbidity,1700000488.000,1.70609
turbidity,1700000489.000,-1.05813
turbidity,1700000490.000,1.97214
turbidity,1700000491.000,1.27879
turbidity,1700000492.000,0.30010
turbidity,1700000493.000,1.50816
turbidity,1700000494.000,0.00623
turbidity,1700000495.000,0.61811
turbidity,1700000496.000,-0.20518
turbidity,1700000497.000,1.30653
turbidity,1700000498.000,-0.36345
turbidity,1700000499.000,0.29603
turbidity,1700000500.000,1.02989
turbidity,1700000501.000,1.40195
turbidity,1700000502.000,-0.46480
turbidity,1700000503.000,1.11161
turbidity,1700000504.000,-0.62194
turbidity,1700000505.000,23.21069
turbidity,1700000506.000,-0.38668
turbidity,1700000507.000,1.19579
turbidity,1700000508.000,0.34805
turbidity,1700000509.000,-0.17618
turbidity,1700000510.000,0.41231
turbidity,1700000511.000,0.37676
turbidity,1700000512.000,0.97339
turbidity,1700000513.000,-1.26341
turbidity,1700000514.000,0.24250
turbidity,1700000515.000,0.46553
turbidity,1700000516.000,-1.02780
turbidity,1700000517.000,-1.04519
turbidity,1700000518.000,-0.03444
turbidity,1700000519.000,0.33530
turbidity,1700000520.000,0.33550
turbidity,1700000521.000,-0.23599
turbidity,1700000522.000,-0.27984
turbidity,1700000523.000,-0.08029
turbidity,1700000524.000,0.61107
turbidity,1700000525.000,1.55510
turbidity,1700000526.000,-1.91173
turbidity,1700000527.000,0.93010
turbidity,1700000528.000,0.19461
turbidity,1700000529.000,0.83035
turbidity,1700000530.000,1.48923
turbidity,1700000531.000,-0.45222
turbidity,1700000532.000,1.24657
turbidity,1700000533.000,-0.95229
turbidity,1700000534.000,0.42894
turbidity,1700000535.000,0.05850
turbidity,1700000536.000,0.34704
turbidity,1700000537.000,-0.68847
turbidity,1700000538.000,0.73730
turbidity,1700000539.000,1.88659
turbidity,1700000540.000,-0.67164
turbidity,1700000541.000,0.48997
turbidity,1700000542.000,1.15636
turbidity,1700000543.000,0.00398
turbidity,1700000544.000,1.66144
turbidity,1700000545.000,-0.12819
turbidity,1700000546.000,0.18585
turbidity,1700000547.000,-0.69013
turbidity,1700000548.000,0.43081
turbidity,1700000549.000,0.30885
turbidity,1700000550.000,0.94387
turbidity,1700000551.000,-0.32543
turbidity,1700000552.000,-0.36757
turbidity,1700000553.000,0.78159
turbidity,1700000554.000,1.72221
turbidity,1700000555.000,0.96144
turbidity,1700000556.000,2.18898
turbidity,1700000557.000,0.90802
turbidity,1700000558.000,0.88539
turbidity,1700000559.000,1.06127
turbidity,1700000560.000,1.88870
turbidity,1700000561.000,1.65947
turbidity,1700000562.000,-0.63875
turbidity,1700000563.000,1.27378
