# timestamp,sensor,value,x,y,z
0.000,temperature,17.178502,0.000,0.000,-100.000
0.000,turbidity,8.468267,0.000,0.000,-100.000
0.000,h2s,24.260901,0.000,0.000,-100.000
0.000,ph,6.193996,0.000,0.000,-100.000
0.200,temperature,17.512938,0.209,0.419,-99.888
0.250,turbidity,8.425128,0.262,0.523,-99.860
0.400,temperature,17.634569,0.419,0.837,-99.777
0.500,turbidity,8.180399,0.524,1.046,-99.721
0.500,h2s,25.826769,0.524,1.046,-99.721
0.600,temperature,17.936978,0.628,1.255,-99.665
0.750,turbidity,8.065070,0.785,1.568,-99.581
0.800,temperature,18.067974,0.838,1.672,-99.553
1.000,temperature,18.189623,1.047,2.088,-99.442
1.000,turbidity,8.725715,1.047,2.088,-99.442
1.000,h2s,25.991388,1.047,2.088,-99.442
1.000,ph,6.053852,1.047,2.088,-99.442
1.200,temperature,18.164110,1.256,2.502,-99.331
1.250,turbidity,8.669520,1.308,2.605,-99.303
1.400,temperature,18.138219,1.465,2.914,-99.219
1.500,turbidity,8.701506,1.569,3.119,-99.164
1.500,h2s,25.700949,1.569,3.119,-99.164
1.600,temperature,18.027589,1.674,3.323,-99.108
1.750,turbidity,8.845211,1.830,3.629,-99.025
1.800,temperature,17.889829,1.882,3.730,-98.997
2.000,temperature,17.618761,2.091,4.135,-98.887
2.000,turbidity,7.771503,2.091,4.135,-98.887
2.000,h2s,25.105871,2.091,4.135,-98.887
2.000,ph,6.124031,2.091,4.135,-98.887
2.200,temperature,17.420098,2.299,4.536,-98.776
2.250,turbidity,8.535719,2.351,4.635,-98.749
2.400,temperature,17.021462,2.507,4.933,-98.666
2.500,turbidity,7.536682,2.611,5.130,-98.611
2.500,h2s,24.039769,2.611,5.130,-98.611
2.600,temperature,16.710852,2.714,5.327,-98.556
2.750,turbidity,7.613620,2.870,5.619,-98.474
2.800,temperature,16.308520,2.922,5.716,-98.446
3.000,temperature,15.965963,3.129,6.101,-98.337
3.000,turbidity,6.687913,3.129,6.101,-98.337
3.000,h2s,22.261083,3.129,6.101,-98.337
3.000,ph,6.280249,3.129,6.101,-98.337
3.200,temperature,15.376792,3.335,6.481,-98.228
3.250,turbidity,6.737852,3.387,6.576,-98.200
3.400,temperature,14.954437,3.542,6.856,-98.119
3.500,turbidity,6.903297,3.645,7.042,-98.065
3.500,h2s,20.399155,3.645,7.042,-98.065
3.600,temperature,14.421991,3.748,7.226,-98.010
3.750,turbidity,6.504655,3.902,7.500,-97.929
3.800,temperature,13.878268,3.953,7.591,-97.902
4.000,temperature,13.440910,4.158,7.949,-97.795
4.000,turbidity,5.867826,4.158,7.949,-97.795
4.000,h2s,18.343374,4.158,7.949,-97.795
4.000,ph,6.631661,4.158,7.949,-97.795
4.200,temperature,12.826293,4.363,8.301,-97.688
4.250,turbidity,5.698057,4.414,8.388,-97.661
4.400,temperature,12.333585,4.567,8.646,-97.581
4.500,turbidity,5.182482,4.669,8.817,-97.528
4.500,h2s,16.552615,4.669,8.817,-97.528
4.600,temperature,11.859277,4.771,8.985,-97.475
4.750,turbidity,5.364371,4.923,9.235,-97.395
4.800,temperature,11.391439,4.974,9.317,-97.369
5.000,temperature,12.477094,5.176,9.642,-97.264
5.000,turbidity,4.136017,5.176,9.642,-97.264
5.000,h2s,14.214630,5.176,9.642,-97.264
5.000,ph,6.932475,5.176,9.642,-97.264
5.200,temperature,10.402822,5.378,9.959,-97.159
5.250,turbidity,4.911871,5.429,10.037,-97.133
5.400,temperature,9.888721,5.580,10.268,-97.055
5.500,turbidity,3.956614,5.680,10.420,-97.003
5.500,h2s,12.629275,5.680,10.420,-97.003
5.600,temperature,9.423040,5.781,10.570,-96.951
5.750,turbidity,3.926143,5.931,10.790,-96.874
5.800,temperature,9.098126,5.981,10.863,-96.848
6.000,temperature,8.659250,6.180,11.147,-96.746
6.000,turbidity,3.265722,6.180,11.147,-96.746
6.000,h2s,10.543620,6.180,11.147,-96.746
6.000,ph,7.193546,6.180,11.147,-96.746
6.200,temperature,8.201248,6.379,11.423,-96.644
6.250,turbidity,3.520882,6.429,11.491,-96.619
6.400,temperature,7.874518,6.577,11.690,-96.543
6.500,turbidity,3.391421,6.676,11.820,-96.493
6.500,h2s,9.471716,6.676,11.820,-96.493
6.600,temperature,7.532263,6.775,11.948,-96.443
6.750,turbidity,3.122975,6.922,12.135,-96.368
6.800,temperature,7.136943,6.971,12.197,-96.343
7.000,temperature,6.837761,7.167,12.436,-96.244
7.000,turbidity,2.972762,7.167,12.436,-96.244
7.000,h2s,7.605351,7.167,12.436,-96.244
7.000,ph,7.430884,7.167,12.436,-96.244
7.200,temperature,6.497299,7.362,12.665,-96.146
7.250,turbidity,2.623357,7.411,12.721,-96.122
7.400,temperature,6.304282,7.557,12.884,-96.048
7.500,turbidity,2.469927,7.654,12.990,-96.000
7.500,h2s,6.552302,7.654,12.990,-96.000
7.600,temperature,6.057586,7.750,13.094,-95.952
7.750,turbidity,2.308590,7.895,13.244,-95.880
7.800,temperature,5.792085,7.943,13.293,-95.856
8.000,temperature,5.546474,8.135,13.482,-95.761
8.000,turbidity,2.062058,8.135,13.482,-95.761
8.000,h2s,6.119989,8.135,13.482,-95.761
8.000,ph,7.563503,8.135,13.482,-95.761
8.200,temperature,5.322512,8.326,13.660,-95.666
8.250,turbidity,1.975023,8.373,13.703,-95.643
8.400,temperature,5.145247,8.516,13.828,-95.573
8.500,turbidity,2.132414,8.610,13.908,-95.526
8.500,h2s,4.694763,8.610,13.908,-95.526
8.600,temperature,5.011639,8.705,13.985,-95.480
8.750,turbidity,2.301477,8.846,14.095,-95.411
8.800,temperature,4.824282,8.893,14.131,-95.389
9.000,temperature,4.694952,9.080,14.266,-95.298
9.000,turbidity,1.502588,9.080,14.266,-95.298
9.000,h2s,4.433662,9.080,14.266,-95.298
9.000,ph,7.679136,9.080,14.266,-95.298
9.200,temperature,4.528487,9.266,14.390,-95.208
9.250,turbidity,1.677443,9.312,14.419,-95.185
9.400,temperature,4.401271,9.451,14.502,-95.119
9.500,turbidity,1.284150,9.543,14.554,-95.075
9.500,h2s,3.939651,9.543,14.554,-95.075
9.600,temperature,4.215084,9.635,14.604,-95.031
9.750,turbidity,1.416259,9.772,14.672,-94.965
9.800,temperature,4.129407,9.818,14.694,-94.944
10.000,temperature,4.034820,10.000,14.772,-94.858
10.000,turbidity,1.403708,10.000,14.772,-94.858
10.000,h2s,3.545133,10.000,14.772,-94.858
10.000,ph,7.759620,10.000,14.772,-94.858
10.200,temperature,4.054259,10.181,14.839,-94.773
10.250,turbidity,1.504335,10.226,14.854,-94.752
10.400,temperature,3.943182,10.361,14.894,-94.689
10.500,turbidity,1.447585,10.450,14.918,-94.647
10.500,h2s,2.735491,10.450,14.918,-94.647
10.600,temperature,3.820309,10.539,14.938,-94.606
10.750,turbidity,1.354802,10.672,14.963,-94.544
10.800,temperature,3.744671,10.717,14.970,-94.524
11.000,temperature,3.612599,10.893,14.991,-94.443
11.000,turbidity,1.446079,10.893,14.991,-94.443
11.000,h2s,2.755925,10.893,14.991,-94.443
11.000,ph,7.821355,10.893,14.991,-94.443
11.200,temperature,3.654067,11.068,15.000,-94.363
11.250,turbidity,1.028254,11.111,15.000,-94.343
11.400,temperature,3.518569,11.242,14.997,-94.284
11.500,turbidity,1.314560,11.328,14.991,-94.245
11.500,h2s,2.342764,11.328,14.991,-94.245
11.600,temperature,3.518199,11.414,14.982,-94.207
11.750,turbidity,1.457535,11.543,14.963,-94.149
11.800,temperature,3.504345,11.586,14.956,-94.130
12.000,temperature,3.454332,11.756,14.918,-94.055
12.000,turbidity,-12.856163,11.756,14.918,-94.055
12.000,h2s,2.493334,11.756,14.918,-94.055
12.000,ph,7.847445,11.756,14.918,-94.055
12.200,temperature,3.442497,11.924,14.868,-93.981
12.250,turbidity,0.806822,11.966,14.854,-93.962
12.400,temperature,3.472656,12.092,14.807,-93.908
12.500,turbidity,1.028080,12.175,14.772,-93.872
12.500,h2s,-5.587016,12.175,14.772,-93.872
12.600,temperature,3.397395,12.258,14.734,-93.836
12.750,turbidity,1.223071,12.382,14.672,-93.783
12.800,temperature,3.298445,12.423,14.650,-93.765
13.000,temperature,3.293163,12.586,14.554,-93.696
13.000,turbidity,1.001710,12.586,14.554,-93.696
13.000,h2s,2.344287,12.586,14.554,-93.696
13.000,ph,7.831833,12.586,14.554,-93.696
13.200,temperature,3.255364,12.748,14.447,-93.628
13.250,turbidity,0.785482,12.789,14.419,-93.611
13.400,temperature,3.300722,12.909,14.329,-93.561
13.500,turbidity,1.173440,12.989,14.266,-93.528
13.500,h2s,2.448154,12.989,14.266,-93.528
13.600,temperature,3.251463,13.068,14.200,-93.495
13.750,turbidity,1.493903,13.187,14.095,-93.447
13.800,temperature,3.337187,13.226,14.059,-93.431
